Step Temp Press PotEng Nconf Lcom[3] Ucom[3] fe fx fy fz fse fsx fsy fsz 
       0    261.84547     818.5287   -683282.12          492    93.265733    120.76097   -506.36388   -14.458427   0.14306077   -57.376986   -14921.899   -10.859247   -6.6009845    100.98687 
     100    282.24859    341.81768   -684131.03          495    93.266939    120.76314   -513.04775   -13.220948  0.069501177   -56.893306    -15006.04    82.743043   -13.155505   -97.669218 
     200    288.41037   -331.33008   -683908.46          494    93.271005    120.76716   -510.68601   -12.561894   0.30984132   -57.351775   -15144.156   -190.03053   -95.140467    179.47559 
     300    294.10639   -330.86144   -683789.54          493    93.271884    120.76746   -520.46028   -11.883001  0.093080094   -58.553393   -15156.847     17.90861    50.201351    282.12541 
     400    296.68858   -174.26043   -683536.23          491    93.274534    120.77035   -509.48347   -12.629489   0.40026024   -57.661857   -15061.396    167.78144   -50.631503   -9.2180007 
     500    298.23606    378.04212   -683327.99          492    93.286538    120.77986   -509.50784   -14.102135   0.37380926   -57.189851   -14993.772    76.434588    91.346477     135.8587 
     600    299.36721    504.94621   -683278.19          490    93.294308    120.78607   -512.28561   -13.911079   0.14391161    -57.79463   -15019.146    30.829494    75.888825    61.257431 
     700    299.15857    188.22208   -683295.28          493    93.299302    120.79264   -513.64712   -14.865003   0.20235546   -56.716259   -15046.508    29.578125     65.32435   -34.200282 
     800    296.30789   -424.20197   -683211.79          493    93.302043    120.79745   -519.66023   -12.922998   0.39161528   -56.985471   -15035.592   -98.438011    53.939024    66.262981 
     900    300.05779    -583.4753   -683495.36          494    93.314063    120.80915   -508.81771   -12.989376  0.051178658   -57.727902   -15020.089    74.088176    -29.91555    159.36324 
    1000    298.84162    50.004869   -683446.11          491    93.324907    120.81814   -503.61244    -15.01976   0.23547661   -55.795816   -14965.698   -13.351874    164.40901    189.24937 
    1100    297.81243   -200.05001   -683183.09          494    93.321458    120.81611   -498.53082   -12.040029   0.15179974   -56.677756   -14891.415    135.88143   -6.0144947   -79.182008 
    1200    299.62699    122.71759   -683070.52          498    93.318101    120.81302   -502.68286   -13.851004   0.10965423   -56.429497   -15001.572    38.317994   -14.316922   -1.8020029 
    1300    302.45243    23.636873   -683195.82          501    93.321916    120.81461   -495.61686   -13.183513   0.27541784   -56.138511   -15006.537    43.424236    21.184394   -13.982678 
    1400    300.48389    139.95071   -683332.05          499    93.320254    120.81309   -506.31816   -14.412661   0.20617069   -56.800793   -14923.415    34.216643   -98.362394   -44.246895 
    1500    301.66803   -152.19522   -683611.08          498      93.3116    120.80564   -501.64187   -13.356099   0.31998113   -55.520085    -14850.25    162.94305   -15.298034    222.27372 
    1600    298.53104   -187.32488   -683460.24          493     93.30793     120.8027   -499.43984   -12.056035  0.080788053   -55.713229   -14954.889   -4.5663325    17.185403   -226.27992 
    1700    299.28012    2.2387707   -683322.62          490     93.31032    120.80386   -520.14562     -14.7476  0.040555979   -57.753467     -15028.8   -22.200548    60.951425    32.124864 
    1800    302.25869   -536.60297    -683368.4          496    93.314854    120.81151   -510.58092   -12.686341  0.086000266   -56.462674   -14971.744     7.642048    93.099473    117.12318 
    1900    299.22868   -103.99758    -683249.1          494     93.31961    120.81461    -502.4264   -13.076384   0.31042256   -56.146786   -14965.875   -7.6306371    84.612575    105.90561 
    2000    299.94458   -262.92337   -683352.23          496      93.3212    120.81571   -501.34206   -13.780346  0.062875642   -56.534908   -14964.391     19.99035   -72.035983   -91.266543 
    2100    300.32681   -136.68795   -683395.18          496    93.325451      120.821   -511.49935    -14.65367   0.28065442   -57.147156   -15022.932    43.337947    80.929023    89.122255 
    2200     300.6572    274.12096   -683428.56          495     93.33313     120.8237   -517.93048   -13.687749   0.28490735   -57.817697   -15033.512    23.219071   -35.635262    113.73932 
    2300    300.04234    112.30873    -683432.7          496    93.341017    120.83372   -515.82709   -12.576562  0.036407658    -57.65139   -15006.939   -40.814887   -2.7599798   -64.074574 
    2400    300.32919    40.173527   -683505.53          494    93.351199    120.84357   -511.69041   -11.767187 -0.071041075   -56.660621   -15006.197    73.628101    9.6399336   -57.504801 
    2500    298.73922    240.14707   -683282.99          491    93.358459    120.84937   -499.61327   -14.247251    0.2700172   -55.622943   -14965.126    64.404958   -68.788386    128.98508 
    2600    301.13928     110.3717   -683207.57          494    93.352882    120.84469   -484.28576   -14.524711 -0.006032226   -54.196062    -14799.69    -47.01426   -34.213931    117.53698 
    2700    300.12825   -9.3284509   -683150.45          491    93.351516    120.84454   -524.94141   -14.145085   0.36966101   -57.850363   -14876.216   -84.334042    33.975912   -105.34617 
    2800    300.00599   -149.36158   -683308.14          496    93.347798    120.84133   -494.29553   -14.177309   0.22316846   -56.246014    -14935.35    62.327376   -74.917847    235.48053 
    2900    298.77988    312.68242   -683457.54          495    93.338656    120.83079   -493.25655   -14.238884   0.15024116     -55.6153   -14913.024    67.450855   -16.162704   -22.749483 
    3000    297.51312   -254.39064   -683405.73          495    93.329711    120.82271   -512.18449   -12.798162   0.11959737   -56.851279   -14916.897   -68.912332   -53.605126    168.16349 
    3100     298.8588   -66.453261   -683402.25          497    93.322862    120.81557   -503.03953   -14.454577   0.14517135   -55.956828   -14792.735    172.71448   -56.282319   -233.03943 
    3200    300.46961     624.1414   -683267.68          497    93.316947     120.8086   -521.38228    -14.96708   0.24273547   -57.630964   -15008.028   -29.352924   -2.3639336   -98.888217 
    3300    299.17411    513.26783   -683082.29          494    93.307446    120.79937   -505.29812   -14.438097   0.26298968   -55.465592   -14907.638   -2.7739187   -126.05232    -112.2397 
    3400    302.15965   -76.419245   -683312.67          497     93.29478    120.78827   -501.08801    -15.64271   0.20000157   -55.822047   -14955.823    81.972807   -85.276929    22.342768 
    3500    299.28747   -279.34334   -683397.59          491    93.277513    120.77321   -486.04882   -13.389829 -0.027849116   -54.158995   -14841.728    64.934696     49.87718    -9.338477 
    3600    297.72573    168.66329      -683419          498    93.263855    120.75771   -502.76928   -13.243172    0.2599112   -56.172911   -14933.064   -110.57607   -28.176601    183.26531 
    3700     298.1523   -100.34192   -683383.17          494    93.247321    120.74175   -506.47788   -12.376356  0.083522012   -56.628459   -14927.609    63.989385   -4.6169298    22.489801 
    3800    298.73344   -251.48336   -683274.64          497    93.246295     120.7398    -507.7779   -12.551746 -0.086414166   -57.367611   -14972.398   -108.95317   -35.933891    77.034637 
    3900     301.8983    111.21017   -683303.88          494    93.246746    120.73934   -501.99418   -13.294216  0.063206419   -57.772386   -14944.881    149.78738   -33.813964    133.58513 
    4000    302.08775   -17.450566   -683093.75          495    93.253188    120.74659   -516.05641   -14.083898  0.066113698   -57.869994   -14950.277    82.352479    58.339465    53.333277 
    4100    303.97662   -164.99365   -683147.72          495    93.257643    120.75257   -525.45181   -12.496232   0.36288335    -58.75022   -15000.693     32.81369    16.049743    227.68589 
    4200    301.16838   -294.25156   -683225.87          496    93.260809    120.75573   -522.87087   -11.595474   0.21122078   -58.537251   -14859.647   -30.788125    116.25808    193.10788 
    4300    298.75769     155.8123    -683188.4          491    93.259528    120.75277   -529.89301   -12.410355   0.33284923    -58.87568   -14956.913    -111.8503   -27.979475   -94.740387 
    4400    299.32264    68.244301   -683174.67          492    93.252694    120.74635   -524.92578   -12.936213   0.29601502    -58.57802   -14942.881    67.556934   -37.010082   -22.476912 
    4500    300.46261    85.672071   -683110.91          495    93.247863    120.74278   -524.21037   -11.494129   0.13081694   -59.417921   -15003.083    118.22562    39.133423    102.63483 
    4600    301.18673    156.65949   -683091.02          496    93.248522    120.74245   -520.14772   -13.285247   0.20090669   -59.297175   -15109.597    9.1504424   -119.51946    36.720731 
    4700     302.2192   -232.41277    -683307.6          493    93.247003    120.74061   -520.07062   -14.092476   0.29445263     -58.9172   -15039.909    89.034706    66.412763    74.279697 
    4800    299.13361    20.204578   -683379.04          491    93.249566    120.74152   -510.84294   -12.584865   0.30704925   -57.791178   -15096.617    85.504218    16.871546   -7.1401363 
    4900    299.47813    52.092357   -683451.39          496    93.250531    120.74242   -519.79608   -13.445014  0.039995436   -58.472185    -15083.89   -22.538907    60.719921   -1.4162129 
    5000    299.48216   -87.041329   -683336.58          491    93.258893    120.75239   -506.73854   -13.065614   0.21578292    -57.53286   -15037.128    91.419741    2.3079191   -156.87605 
    5100    304.44954   -337.50188   -683343.48          496    93.261192    120.75597   -508.77734    -12.75326   0.25404675   -58.659175   -15051.407    51.476921    41.370075   -60.916365 
    5200    302.36273   -75.969193   -683195.92          497    93.268142    120.76144    -511.2164   -12.487344   0.17497474   -57.037702   -15043.684    56.860906   -99.043671   -24.248693 
    5300    301.71153    322.51495   -683267.07          498    93.271602    120.76435   -503.25877   -14.036053    0.1868963   -57.065669   -15048.313   -6.9003801   -2.4943168    108.20087 
    5400    299.49607   -419.07409   -683286.42          496    93.271611     120.7668   -517.16385   -13.098618   0.34751855   -58.595211   -15069.441     42.40451   -2.9574661    212.05598 
    5500    300.38612   -576.21031   -683441.97          498    93.277885    120.77391   -504.03696   -13.526616   0.13291146   -57.536084   -15003.766    144.88983   -83.098326    70.838402 
    5600    302.42787   -350.45389    -683563.4          494    93.280177    120.77696   -524.62812   -12.223221   0.29272643   -58.312683   -15094.839    33.328473    118.76684    4.2383981 
    5700    300.43783    19.520281   -683440.72          499    93.282447    120.77636   -512.88719    -13.20828   0.26189639   -57.521092   -15023.249  -0.72813423   0.30257501   -170.98203 
    5800    296.43788   -64.075655   -683493.97          499    93.284543    120.78087   -515.89455   -12.972706 -0.00044133722   -57.715692   -15024.695    25.829401   -69.900086    279.89565 
    5900    297.37201    233.21397   -683652.85          499    93.288024    120.78251   -505.68386   -13.628868 -0.014134191   -57.126011   -15077.684   -59.335569   -97.465857    -155.9376 
