
# Curve 0 of 1, 47 points
# Curve title: "grace"
# x y type
 6.97416 -16.98  i
 7.03754 -22.7905  i
 7.17565 -33.0863  i
 7.32577 -41.4308  i
 7.50056 -48.0588  i
 7.60053 -50.4219  i
 7.70076 -51.5934  i
 7.83872 -51.0022  i
 7.90234 -49.6139  i
 7.96626 -47.1153  i
 8.04209 -42.8807  i
 8.1306 -36.478  i
 8.18158 -31.9891  i
 8.31541 -20.2752  i
 8.46153 -9.62934  i
 8.59535 -1.84326  i
 8.69244  2.4944  i
 8.7773  5.26063  i
 8.87456  7.31936  i
 9.02052  8.4188  i
 9.09346  8.07774  i
 9.19161  7.01977  i
 9.38846  4.18215  i
 9.59798  0.753554  i
 9.72127 -1.2959  i
 9.80824 -2.5045  i
 9.9445 -3.67242  i
 10.0808 -4.09731  i
 10.1924 -3.83643  i
 10.4147 -2.39291  i
 10.6739  0.031004  i
 10.92  2.14012  i
 11.1536  3.01981  i
 11.3996  2.76416  i
 11.6829  1.51348  i
 11.9419  0.134392  i
 12.2134 -0.853074  i
 12.3864 -1.03273  i
 12.6209 -0.667176  i
 12.8553  0.093677  i
 13.2619  1.14976  i
 13.5575  1.26493  i
 13.8779  0.807236  i
 14.1122  0.441977  i
 14.4452  0.182542  i
 14.7904  0.048034  i
 14.9753  0  i

